timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584115039040,3674,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-2,,false,,510,543,14,14,null,0,0,0
1584115039040,3674,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-2,text,false,,510,543,14,14,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,3674,0,23
1584115039144,3579,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-20,,false,,510,543,14,14,null,0,0,0
1584115039144,3579,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-20,text,false,,510,543,14,14,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,3579,0,26
1584115038474,4261,Login Process,200,,ViewingCompletedPage 1-7,,true,,5639,672,14,14,null,0,0,0
1584115038474,4261,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-7,text,true,,5639,672,14,14,http://test-hgv-api.answerappcloud.com/api/tokens/request,4261,0,24
1584115038511,4231,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-1,,true,,5640,672,13,13,null,0,0,0
1584115038511,4231,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-1,text,true,,5640,672,13,13,http://test-hgv-api.answerappcloud.com/api/tokens/request,4231,0,22
1584115039115,4590,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-16,,true,,5640,644,13,13,null,0,2,0
1584115039761,3945,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-4,,true,,5640,672,13,13,null,0,1,0
1584115039116,4590,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-16,text,true,,5640,644,13,13,http://test-hgv-api.answerappcloud.com/api/tokens/request,4590,0,23
1584115039761,3945,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-4,text,true,,5640,672,13,13,http://test-hgv-api.answerappcloud.com/api/tokens/request,3945,0,25
1584115041759,2896,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-5,,false,,510,543,14,14,null,0,0,0
1584115041759,2896,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-5,text,false,,510,543,14,14,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,2896,0,24
1584115040784,3871,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-17,,false,,510,543,14,14,null,0,1,0
1584115040785,3871,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-17,text,false,,510,543,14,14,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,3871,0,23
1584115042741,1930,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-1,,false,,510,543,14,14,null,0,0,0
1584115042741,1930,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-1,text,false,,510,543,14,14,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,1930,0,22
1584115040764,3917,Login Process,200,,ViewingCompletedPage 1-6,,true,,5640,672,14,14,null,0,0,0
1584115040764,3917,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-6,text,true,,5640,672,14,14,http://test-hgv-api.answerappcloud.com/api/tokens/request,3917,0,24
1584115040763,3919,Login Process,200,"Number of samples in transaction : 1, number of failing samples : 0",ViewingCompletedPage 1-3,,true,,5640,672,13,13,null,0,0,0
1584115040763,3919,LoginIntoBackOffice,200,OK,ViewingCompletedPage 1-3,text,true,,5640,672,13,13,http://test-hgv-api.answerappcloud.com/api/tokens/request,3919,0,21
1584115041771,2914,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-19,,false,,510,543,13,13,null,0,0,0
1584115041771,2914,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-19,text,false,,510,543,13,13,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,2914,0,21
1584115043706,1879,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-16,,false,,510,543,13,13,null,0,0,0
1584115043706,1879,Completed Tab,401,"Number of samples in transaction : 1, number of failing samples : 1",ViewingCompletedPage 1-4,,false,,510,543,13,13,null,0,0,0
1584115043706,1879,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-16,text,false,,510,543,13,13,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,1879,0,22
1584115043706,1879,Completed_sortByAscending,401,Unauthorized,ViewingCompletedPage 1-4,text,false,,510,543,13,13,http://test-hgv-api.answerappcloud.com/api/jobtracking/list/completed?pageNumber=1&rowsPerPage=25&sortDir=asc,1879,0,22
